# Frequency (microHz)     Power spectral density (ppm^2/microHz)
  72.0718272088    4.8805180351
  72.0808871494   19.3221437527
  72.0899470899    2.8779194689
  72.0990070305   69.5221981783
  72.1080669711   58.9710453951
  72.1171269116   57.4263184456
  72.1261868522   48.9123088276
  72.1352467928   20.3495177988
  72.1443067333    4.6323979872
  72.1533666739   47.3179671990
  72.1624266145   19.2739013167
  72.1714865550   23.2801059912
  72.1805464956    3.9930068424
  72.1896064362   83.8199417202
  72.1986663767    0.9521542874
  72.2077263173   11.3159255769
  72.2167862579   76.6274148599
  72.2258461984  160.2944630232
  72.2349061390   90.8047854041
  72.2439660796   28.7568859716
  72.2530260201   97.8173164434
  72.2620859607   30.3268836363
  72.2711459013   34.1902860873
  72.2802058418   52.7025499403
  72.2892657824  109.1464042502
  72.2983257230   36.2407764557
  72.3073856636   65.4240900934
  72.3164456041   13.8884222309
  72.3255055447   28.9805712233
  72.3345654853   72.1194081563
  72.3436254258   51.2554565970
  72.3526853664   32.7486162563
  72.3617453070  102.7780355557
  72.3708052475   22.8866878638
  72.3798651881   14.3010434309
  72.3889251287   25.3205693816
  72.3979850692   59.1372386416
  72.4070450098   14.7635756135
  72.4161049504    3.9050134881
  72.4251648909   69.5575455993
  72.4342248315  137.9956940291
  72.4432847721   45.9986747560
  72.4523447126   77.7058119115
  72.4614046532   32.1656788458
  72.4704645938   72.7674400800
  72.4795245343   30.7534835470
  72.4885844749    1.0001465505
  72.4976444155   65.6703321561
  72.5067043560    8.8611461048
  72.5157642966  110.2442280439
  72.5248242372   67.3284934479
  72.5338841777    0.9781617236
  72.5429441183   35.9055951789
  72.5520040589   66.0034522479
  72.5610639994   30.3630469015
  72.5701239400    8.7067093242
  72.5791838806   20.4058747692
  72.5882438211  132.9396075398
  72.5973037617   34.6621347366
  72.6063637023   94.4626871438
  72.6154236428  185.1842842805
  72.6244835834   44.8173921108
  72.6335435240   87.7415636892
  72.6426034645   53.1699309598
  72.6516634051    4.0145512642
  72.6607233457    1.5213377461
  72.6697832862  218.9646271341
  72.6788432268   96.8191502414
  72.6879031674   22.3130494632
  72.6969631079   49.6045272849
  72.7060230485  160.6930281430
  72.7150829891   80.4785199313
  72.7241429296    6.5456303048
  72.7332028702  112.4405998352
  72.7422628108   26.7628121008
  72.7513227513   74.7469451020
  72.7603826919   71.4935005572
  72.7694426325   59.0374839186
  72.7785025730   52.6575112628
  72.7875625136  122.9805911246
  72.7966224542  112.0970060385
  72.8056823947  397.2937230985
  72.8147423353   40.4163266724
  72.8238022759   66.3292686680
  72.8328622164   58.1923305881
  72.8419221570   79.5126208281
  72.8509820976    3.8863616762
  72.8600420381   92.7366610551
  72.8691019787   16.2119099721
